,gt,ocr,cer,wer,n_characters,n_words,report
644,input/briedefra_788606417/OCR-D-GT-PAGE/OCR-D-GT-PAGE_00000130.txt,input/briedefra_788606417/anahash-OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb_00000130.txt,0.09022556390977443,0.1757188498402556,1862,313,report-briedefra_788606417-00000130-OCR-D-GT-PAGEvsanahash-OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb.json
257,input/briedefra_788606417/OCR-D-GT-PAGE/OCR-D-GT-PAGE_00000131.txt,input/briedefra_788606417/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb_00000131.txt,0.013584117032392894,0.022727272727272728,1914,308,report-briedefra_788606417-00000131-OCR-D-GT-PAGEvsOCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb.json
215,input/briedefra_788606417/OCR-D-GT-PAGE/OCR-D-GT-PAGE_00000131.txt,input/briedefra_788606417/anahash-OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb_00000131.txt,0.09352142110762801,0.17532467532467533,1914,308,report-briedefra_788606417-00000131-OCR-D-GT-PAGEvsanahash-OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb.json
286,input/briedefra_788606417/OCR-D-GT-PAGE/OCR-D-GT-PAGE_00000132.txt,input/briedefra_788606417/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb_00000132.txt,0.006683375104427736,0.021052631578947368,1197,190,report-briedefra_788606417-00000132-OCR-D-GT-PAGEvsOCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb.json
272,input/briedefra_788606417/OCR-D-GT-PAGE/OCR-D-GT-PAGE_00000132.txt,input/briedefra_788606417/anahash-OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb_00000132.txt,0.0885547201336675,0.1631578947368421,1197,190,report-briedefra_788606417-00000132-OCR-D-GT-PAGEvsanahash-OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb.json
293,input/briedefra_788606417/OCR-D-GT-PAGE/OCR-D-GT-PAGE_00000133.txt,input/briedefra_788606417/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb_00000133.txt,0.006176016469377252,0.042105263157894736,1943,285,report-briedefra_788606417-00000133-OCR-D-GT-PAGEvsOCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb.json
340,input/briedefra_788606417/OCR-D-GT-PAGE/OCR-D-GT-PAGE_00000133.txt,input/briedefra_788606417/anahash-OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb_00000133.txt,0.08955223880597014,0.19298245614035087,1943,285,report-briedefra_788606417-00000133-OCR-D-GT-PAGEvsanahash-OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb.json
439,input/brieetli_73862926X/OCR-D-GT-PAGE/OCR-D-GT-PAGE_00000027.txt,input/brieetli_73862926X/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb_00000027.txt,0.02948207171314741,0.07582938388625593,1255,211,report-brieetli_73862926X-00000027-OCR-D-GT-PAGEvsOCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb.json
265,input/brieetli_73862926X/OCR-D-GT-PAGE/OCR-D-GT-PAGE_00000027.txt,input/brieetli_73862926X/anahash-OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb_00000027.txt,0.14422310756972112,0.27488151658767773,1255,211,report-brieetli_73862926X-00000027-OCR-D-GT-PAGEvsanahash-OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb.json
30,input/brieetli_73862926X/OCR-D-GT-PAGE/OCR-D-GT-PAGE_00000028.txt,input/brieetli_73862926X/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb_00000028.txt,0.0328,0.06572769953051644,1250,213,report-brieetli_73862926X-00000028-OCR-D-GT-PAGEvsOCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb.json
